"datetime","NA"
"2016-01-26 18:00:00",4.8
"2016-03-27 19:00:00",1.6
"2016-04-11 19:00:00",2.1
"2016-04-24 19:00:00",1.6
"2016-05-10 19:00:00",5.9
"2016-05-22 19:00:00",5.5
"2016-06-06 19:00:00",3.4
"2016-06-19 19:00:00",4.4
"2016-07-04 19:00:00",2.3
"2016-07-17 19:00:00",2.1
"2016-07-31 19:00:00",2
"2016-08-14 19:00:00",2.2
"2016-08-29 19:00:00",3
"2016-10-03 19:00:00",2.4
"2016-11-08 18:00:00",2.5
"2017-02-05 18:00:00",4.3
"2017-04-16 19:00:00",1.4
"2017-05-02 19:00:00",1.9
"2017-05-14 19:00:00",1.7
"2017-05-29 19:00:00",6.1
"2017-06-11 19:00:00",2.5
"2017-06-25 19:00:00",2.8
"2017-07-09 19:00:00",1.4
"2017-07-23 19:00:00",1.5
"2017-08-06 19:00:00",1.4
"2017-08-22 19:00:00",1.6
"2017-09-05 19:00:00",1.6
"2017-09-24 19:00:00",2.4
"2017-10-03 19:00:00",2.3
"2017-11-01 19:00:00",3.9
"2017-12-18 18:00:00",5.4
"2018-01-22 18:00:00",4.8
"2018-04-04 19:00:00",1.6
"2018-04-19 19:00:00",1.8
"2018-05-06 19:00:00",1.1
"2018-05-13 19:00:00",1.1
"2018-05-28 19:00:00",2.2
"2018-06-10 19:00:00",3.5
"2018-06-24 19:00:00",2.2
"2018-07-08 19:00:00",1.8
"2018-07-22 19:00:00",1.2
"2018-08-05 19:00:00",2
"2018-08-21 19:00:00",2.1
"2018-09-03 19:00:00",2.6
"2018-09-18 19:00:00",2.2
"2018-10-01 19:00:00",3.1
"2018-10-17 19:00:00",3.4
"2018-10-28 19:00:00",3.7
"2018-11-13 18:00:00",4.5
"2018-11-29 18:00:00",6.5
"2019-02-20 18:00:00",1.1
"2019-04-02 19:00:00",2.6
"2019-04-14 19:00:00",1.7
"2019-04-28 19:00:00",2.8
"2019-05-11 19:00:00",3.6
"2019-05-27 19:00:00",9.5
"2019-06-10 19:00:00",8.3
"2019-06-23 19:00:00",5.6
"2019-07-07 19:00:00",3.1
"2019-07-21 19:00:00",1.8
"2019-08-04 19:00:00",1.8
"2019-09-03 19:00:00",1.7
"2019-10-03 19:00:00",2.3
"2019-10-27 19:00:00",4.6
"2019-11-19 18:00:00",6.6
"2020-02-11 18:00:00",2.9
"2020-05-06 19:00:00",1.7
"2020-05-14 19:00:00",4.5
"2020-06-01 19:00:00",9.9
"2020-06-11 19:00:00",7.1
"2020-06-23 19:00:00",3
"2020-07-07 19:00:00",1.9
"2020-07-19 19:00:00",1.8
"2020-08-05 19:00:00",1.25
"2020-08-19 19:00:00",1.6
"2020-09-01 19:00:00",1.25
"2020-09-17 19:00:00",1.75
"2020-10-07 19:00:00",1.8
"2020-11-02 18:00:00",4.6
"2020-12-09 18:00:00",6
"2021-03-02 18:00:00",10.1
"2021-04-05 19:00:00",2.2
"2021-04-21 19:00:00",4.1
"2021-05-05 19:00:00",7.2
"2021-05-16 19:00:00",10.1
"2021-06-01 19:00:00",5.1
"2021-06-15 19:00:00",2.9
"2021-06-29 19:00:00",2.7
"2021-07-15 19:00:00",1.8
"2021-07-26 19:00:00",1.5
"2021-08-11 19:00:00",1.25
"2021-08-25 19:00:00",1
"2021-09-09 19:00:00",1.3
"2021-09-26 19:00:00",1.1
"2021-10-07 19:00:00",1.3
"2021-10-18 19:00:00",2
"2021-11-03 19:00:00",3.3
"2022-02-07 18:00:00",7.2
"2022-04-20 19:00:00",1.9
"2022-04-21 19:00:00",1.9
"2022-05-15 19:00:00",5.1
"2022-05-16 19:00:00",5.1
"2022-06-13 19:00:00",2.3
"2022-06-27 19:00:00",1.6
"2022-07-12 19:00:00",1.8
"2022-07-24 19:00:00",1.3
"2022-08-08 19:00:00",1.5
"2022-08-24 19:00:00",1.5
"2022-09-05 19:00:00",1.8
"2022-09-18 19:00:00",1.7
"2022-10-03 19:00:00",1.6
"2022-10-19 19:00:00",2.7
"2022-10-31 19:00:00",2.1
"2022-11-22 18:00:00",3.5
